airport_iata,airport_icao,lat,lon,name,city,country
IXW,VEJS,22.8167,86.1667,Sonari Airport,Jamshedpur,India
MAA,VOMM,12.9849,80.1634,Chennai International Airport,Kanchipuram,India
IXG,VABM,15.8581,74.6189,Belgaum Airport,Kangrali,India
COK,VOCC,9.93997,76.2748,Kochi Airport,Kochi,India
CCU,VECC,22.6572,88.4506,Netaji Subhash Chandra Bose International Airpor,Kolkata,India
IXL,VILH,34.1667,77.5833,Leh Airport,Leh,India
IXI,VELR,21.7866,82.7948,India,Lilabari,India
IXE,VOML,12.9812,74.8992,Mangalore Airport,Mulur,India
BOM,VABB,19.0932,72.8654,Chhatrapati Shivaji International Airport,Mumbai,India
DEL,VIDP,28.5603,77.1027,Indira Gandhi International Airport,New Delhi,India
CCJ,VOCL,11.1329,75.9536,Kozhikode Airport,Pallikkal,India
PAT,VEPT,25.5914,85.0866,Lok Nayak Jaiprakash Airport,Patna,India
IXZ,VOPB,11.692,92.7097,Vir Savarkar Airport,Port Blair,India
ATQ,VIAR,31.7131,74.7955,Raja Sansi Airport,Raja Sansi,India
IXR,VERC,23.3066,85.3353,Birsa Munda Airport,Ranchi,India
JRH,VEJT,26.7286,94.1778,Jorhat Airport,Senchoa Gaon,India
SHL,KSHL,25.5667,91.8833,,Shillong,India
IXS,VEKU,24.9667,92.5167,Kumbhirgram Airport,Tarapur,India
TRV,VOTV,8.47824,76.9215,Thiruvananthapuram Airport,Thiruvananthapuram,India
BDQ,VABO,22.3367,73.2264,Vadodara Airport,Vadodara,India
AMQ,WAPP,-3.7067,128.078,Pattimura Airport,Ambon,Indonesia
BPN,WALL,-1.2681,116.897,Sepinggan Airport,Balikpapan,Indonesia
BDO,WICC,-6.9017,107.576,Husein Sastranegara Airport,Bandung,Indonesia
BDJ,WRBB,-3.4425,114.757,Syamsuddin Noor Airport,Banjarmasin,Indonesia
BKS,KBKS,-3.8633,102.339,Padangkemiling Airport,Bengkulu,Indonesia
DPS,WADD,-8.7486,115.165,Bali International Airport,Denpasar,Indonesia
DIL,WPDL,-8.5533,125.526,Comoro,Dili,Indonesia
DJB,WIPA,-1.6369,103.639,Sultan Taha Airport,Jambi,Indonesia
DJJ,WAJJ,-2.575,140.514,Sentani Airport,Jayapura,Indonesia
AMI,WRRA,-8.562,116.098,Selaparang,Mataram,Indonesia
MES,WIMM,3.5606,98.6708,Polonia Airport,Medan,Indonesia
PDG,WIPT,-0.8794,100.352,Tabing Airport,Padang,Indonesia
PLM,WIPP,-2.9003,104.698,Sultan Mahmud Badaruddin Ii Airport,Palembang,Indonesia
PKU,WIBB,0.4642,101.439,Simpang Tiga Airport,Pekanbaru,Indonesia
PNK,WIOO,-0.1481,109.403,Supadio Airport,Pontianak,Indonesia
SRG,WARS,-6.9758,110.38,Achmad Yani Airport,Semarang,Indonesia
SUB,WARR,-7.38,112.785,Juanda Airport,Sidoarjo,Indonesia
CGK,WIII,-6.11964,106.656,Jakarta International Airport,Tangerang,Indonesia
TRK,KTRK,3.3258,117.567,Tarakan Airport,Tarakan,Indonesia
WGP,WRRW,-9.6722,120.308,Mau Hau Airport,Waingapu,Indonesia
ABD,OIAA,30.3374,48.3032,,Abadan,Iran
AWZ,OIAW,31.3378,48.7597,Ahvaz Airport,Ahvaz,Iran
